Rank,Name,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate
280.0,Wabash College,848.0,864.0,21870.0,28547.0,54600.0,114400.0,63.0
281.0,Washington College,1484.0,1520.0,28943.0,26844.0,61010.0,93500.0,48.0
282.0,Saint Michael's College,2077.0,2126.0,30142.0,23373.0,57560.0,98500.0,85.0
283.0,The Catholic University of America,3323.0,6023.0,32731.0,24577.0,62482.0,105100.0,83.0
284.0,Massachusetts Maritime Academy,1780.0,1811.0,18027.0,10571.0,43085.0,117500.0,83.0
285.0,Siena College,3226.0,3288.0,27588.0,24332.0,53855.0,101500.0,78.0
286.0,Bennington College,782.0,851.0,29815.0,35753.0,70760.0,90000.0,57.0
287.0,John Carroll University,3273.0,3545.0,25017.0,25797.0,55820.0,97300.0,85.0
288.0,Saint Mary's College (IN),1637.0,1690.0,23244.0,25970.0,55200.0,89300.0,78.0
289.0,Seattle Pacific University,3359.0,3783.0,30299.0,23350.0,56485.0,103400.0,91.0
290.0,"University at Albany, SUNY",14939.0,17743.0,18093.0,9096.0,40562.0,101700.0,54.0
291.0,Messiah College,2866.0,3331.0,27200.0,18110.0,47930.0,93100.0,77.0
292.0,Hofstra University,7438.0,11131.0,32240.0,24541.0,61260.0,110400.0,64.0
293.0,Biola University,4256.0,6172.0,31492.0,18028.0,54516.0,92500.0,72.0
294.0,Duquesne University,6467.0,9190.0,28961.0,19545.0,52108.0,96100.0,72.0
295.0,San Jose State University,27394.0,35835.0,14627.0,8545.0,40046.0,114700.0,67.0
296.0,Ursinus College,1507.0,1576.0,29219.0,32962.0,66242.0,101800.0,78.0
297.0,Saint Mary's College of California,3018.0,3913.0,33570.0,29572.0,65524.0,110800.0,82.0
298.0,Regis University,5127.0,8341.0,23672.0,21367.0,51202.0,94800.0,60.0
299.0,Temple University,31739.0,39967.0,23366.0,10739.0,44190.0,95900.0,57.0
300.0,"California State University, Fullerton",38279.0,40905.0,8737.0,8436.0,39222.0,98400.0,46.0
301.0,"CUNY, Hunter College",20626.0,23005.0,3170.0,8039.0,29454.0,94500.0,40.0
302.0,Ohio Northern University,2310.0,3088.0,23100.0,20796.0,46118.0,103900.0,66.0
303.0,Maryland Institute College of Art,2041.0,2128.0,38763.0,18939.0,62850.0,84500.0,62.0
304.0,Bradley University,4669.0,5844.0,24814.0,19250.0,46680.0,104900.0,71.0
305.0,Appalachian State University,17811.0,18811.0,13691.0,8312.0,33819.0,82700.0,70.0
306.0,University of Houston,40813.0,45364.0,16392.0,9530.0,37306.0,103900.0,61.0
307.0,Transylvania University,966.0,983.0,25405.0,21960.0,50550.0,85600.0,95.0
308.0,University of Kentucky,23718.0,29465.0,18527.0,9387.0,45634.0,96400.0,96.0
309.0,California State University Maritime Academy,1090.0,1181.0,16416.0,7716.0,39962.0,129600.0,66.0
310.0,Presbyterian College,1135.0,1280.0,18504.0,31372.0,51910.0,89900.0,65.0
